"Fine
Aggregate","Coarse
Aggregate",Fly ash,"Silica
Fume",Cement,Slag,Water,Superplasticizer,Slump
677,1230,0,0,440,0,167,8.8,11
621,1232,132,0,308,0,167,8.8,12.3
613,1270,88,22,308,22,167,8.8,13.6
613,1270,66,33,308,33,167,8.8,13.5
647,1177,220,0,220,0,167,8.8,14
603,1270,132,44,220,44,167,8.8,15.5
603,1270,88,66,220,66,167,8.8,14.8
603,1270,66,88,220,66,167,8.8,14.2
662,993,0,0,485,0,208,0,5.8
868.5,888.2,130.3,0,318.5,86.8,129.4,20.6,25
868.5,888.2,130.3,0,318.5,86.8,134,16,24.5
868.5,888.2,130.3,0,318.5,86.8,127,23,24
896.6,916.9,134.5,0,244.6,89.7,130,20,27.5
896.6,916.9,134.5,0,244.6,89.7,136,14,25
896.6,916.9,134.5,0,244.6,89.7,130,20,28
918.4,939.3,137.8,0,187.1,91.8,130.5,19.5,24.5
918.4,939.3,137.8,0,187.1,91.8,130.5,19.5,26.5
918.4,939.3,137.8,0,187.1,91.8,130.5,19.5,26
935.9,957.2,140.4,0,141.1,93.6,132.6,17.4,25.5
935.9,957.2,140.4,0,141.1,93.6,132.6,17.4,25.5
935.9,957.2,140.4,0,141.1,93.6,132.6,17.4,24
868.5,888.2,130.3,0,318.5,86.8,132,18,19
868.5,888.2,130.3,23.5,318.5,86.8,129.8,20.2,22
868.5,888.2,130.3,0,318.5,86.8,136.8,13.2,15
883.2,903.2,132.5,0,279.5,88.3,133,17,14.5
883.2,903.2,132.5,0,279.5,88.3,135,15,15.5
891,839,305,9.74,185,10.25,127,16.03,26
872,820,299,11.26,214,11.85,136,13.7,27
852,802,292,12.78,243,13.45,145,11.68,26
891,839,305,8.96,170,9.43,139,9.31,26.5
891,839,305,8.23,156,8.67,146,6.77,26.5
891,839,305,7.85,143,7.94,152,6.45,26
891,839,305,5.72,109,6.02,166,3.84,22
883,951,0,0,348,0,209,0,9
883,952,0,0,175,175,210,0,13
872,940,176,0,176,0,211,0,14
881,951,88,0,176,88,211,0,14
877,946,0,0,450,0,167,4.4,8
876,945,0,0,222,222,168,4.5,15
855,921,221,0,221,0,167,3.4,11
865,933,111,0,222,111,168,4.7,16
568.7,1164.42,0,0,390,0,185,0,9
568.7,1164.42,0,19.5,370.5,0,185,0,8.5
568.7,1164.42,0,39,351,0,185,0,8
596,1136,146,0,438,0,187,11.7,9.5
596,1194,146,0,438,0,187,11.7,8.9
568.7,1164.12,0,0,390,0,185,0,9
568.7,1164.12,39,0,351,0,185,0,8.5
568.7,1164.12,78,0,312,0,185,0,8
568.7,1164.12,117,0,273,0,185,0,8
830,1000,0,0,328,0,177,0,7
810,975,112,0,261,0,180,0,8
815,980,112,0,261,0,172,0,9
820,980,112,0,261,0,163,0,7
800,970,0,0,362,0,175,0,5
780,940,123,0,288,0,169,0,7
785,945,123,0,288,0,172,0,7.5
790,950,123,0,288,0,172,0,6.5
600,970,0,0,611,0,146,12.2,10
555,895,208,0,486,0,162,13.9,10
565,905,208,0,486,0,153,13.9,10
570,915,208,0,486,0,142,13.9,5
740,1185,0,0,355,0,145.5,5.11,14
661,1185,132,0,308,0,141,4.77,17
665,1185,176,0,264,0,136.5,4.75,18.5
594,1185,0,0,517,0,150,6.77,15
570,1185,155,0,362,0,150,4.8,17.5
561,1185,207,0,311,0,150,4.24,16
655,1165,0,0,372,0,186,0,13
655,1165,0,0,280,92,186,0,14
655,1165,0,0,186,186,186,0,16.5
655,1165,92,0,280,0,186,0,21.5
681,1209,216,0,156,0,130,3.6,12
