"Fine
Aggregate","Coarse
Aggregate","Fly ash","Silica
Fume","Cement","Slag","Water","Superplasticizer","Age","Compressive 
Strength"
"677","1230","0","0","440","0","167","8.8","28","49"
"677","1230","0","0","440","0","167","8.8","90","55"
"677","1230","0","0","440","0","167","8.8","180","56"
"677","1230","0","0","440","0","167","8.8","365","60"
"621","1232","132","0","308","0","167","8.8","28","48"
"621","1232","132","0","308","0","167","8.8","90","55"
"621","1232","132","0","308","0","167","8.8","180","65"
"621","1232","132","0","308","0","167","8.8","365","68"
"613","1270","88","22","308","22","167","8.8","28","52"
"613","1270","88","22","308","22","167","8.8","90","58"
"613","1270","88","22","308","22","167","8.8","180","63"
"613","1270","88","22","308","22","167","8.8","365","64"
"613","1270","66","33","308","33","167","8.8","28","51"
"613","1270","66","33","308","33","167","8.8","90","59"
"613","1270","66","33","308","33","167","8.8","180","64"
"613","1270","66","33","308","33","167","8.8","365","67"
"647","1177","220","0","220","0","167","8.8","28","34"
"647","1177","220","0","220","0","167","8.8","90","43"
"647","1177","220","0","220","0","167","8.8","180","44"
"647","1177","220","0","220","0","167","8.8","365","44.5"
"603","1270","132","44","220","44","167","8.8","28","56"
"603","1270","132","44","220","44","167","8.8","90","62"
"603","1270","132","44","220","44","167","8.8","180","69.5"
"603","1270","132","44","220","44","167","8.8","365","74"
"603","1270","88","66","220","66","167","8.8","28","43"
"603","1270","88","66","220","66","167","8.8","90","47"
"603","1270","88","66","220","66","167","8.8","180","48"
"603","1270","88","66","220","66","167","8.8","365","50"
"603","1270","66","88","220","66","167","8.8","28","34"
"603","1270","66","88","220","66","167","8.8","90","43"
"603","1270","66","88","220","66","167","8.8","180","43.5"
"603","1270","66","88","220","66","167","8.8","365","45"
"868.50","888.20","130.30","0.00","318.50","86.80","129.40","20.60","3","37.14"
"868.50","888.20","130.30","0.00","318.50","86.80","129.40","20.60","7","52.19"
"868.50","888.20","130.30","0.00","318.50","86.80","129.40","20.60","28","59.94"
"868.50","888.20","130.30","0.00","318.50","86.80","129.40","20.60","56","64.61"
"868.50","888.20","130.30","0.00","318.50","86.80","129.40","20.60","91","69.87"
"868.50","888.20","130.30","0.00","318.50","86.80","129.40","20.60","180","78.64"
"868.50","888.20","130.30","0.00","318.50","86.80","134.00","16.00","3","29.2"
"868.50","888.20","130.30","0.00","318.50","86.80","134.00","16.00","7","41.69"
"868.50","888.20","130.30","0.00","318.50","86.80","134.00","16.00","28","60.83"
"868.50","888.20","130.30","0.00","318.50","86.80","134.00","16.00","56","66.34"
"868.50","888.20","130.30","0.00","318.50","86.80","134.00","16.00","91","71.86"
"868.50","888.20","130.30","0.00","318.50","86.80","134.00","16.00","180","74.59"
"868.50","888.20","130.30","0.00","318.50","86.80","127.00","23.00","3","24.53"
"868.50","888.20","130.30","0.00","318.50","86.80","127.00","23.00","7","59.94"
"868.50","888.20","130.30","0.00","318.50","86.80","127.00","23.00","28","68.27"
"868.50","888.20","130.30","0.00","318.50","86.80","127.00","23.00","56","73.39"
"868.50","888.20","130.30","0.00","318.50","86.80","127.00","23.00","91","83.12"
"868.50","888.20","130.30","0.00","318.50","86.80","127.00","23.00","180","86.97"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","3","28.24"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","7","40.6"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","28","53.5"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","56","57.25"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","91","65.36"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","180","75.37"
"896.60","916.90","134.50","0.00","244.60","89.70","136.00","14.00","3","18.12"
"896.60","916.90","134.50","0.00","244.60","89.70","136.00","14.00","7","37.27"
"896.60","916.90","134.50","0.00","244.60","89.70","136.00","14.00","28","53.98"
"896.60","916.90","134.50","0.00","244.60","89.70","136.00","14.00","56","62.12"
"896.60","916.90","134.50","0.00","244.60","89.70","136.00","14.00","91","65.51"
"896.60","916.90","134.50","0.00","244.60","89.70","136.00","14.00","180","68.87"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","3","21.32"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","7","50.33"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","28","63.21"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","56","65.26"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","91","77.1"
"896.60","916.90","134.50","0.00","244.60","89.70","130.00","20.00","180","81.2"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","3","20.49"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","7","34.01"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","28","51.87"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","56","54.69"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","91","64.64"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","180","72.37"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","3","14.54"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","7","33.04"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","28","51.81"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","56","59.24"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","91","63.85"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","180","66.73"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","3","14.92"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","7","42.91"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","28","52.19"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","56","56.74"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","91","69.29"
"918.40","939.30","137.80","0.00","187.10","91.80","130.50","19.50","180","71.72"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","3","16.14"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","7","33.55"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","28","47.39"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","56","54.43"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","91","63.52"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","180","71.21"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","3","13.11"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","7","28.69"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","28","42.65"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","56","54.69"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","91","59.68"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","180","62.37"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","3","11.66"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","7","30.96"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","28","48.08"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","56","55.97"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","91","64.14"
"935.90","957.20","140.40","0.00","141.10","93.60","132.60","17.40","180","66.47"
"868.50","888.20","130.30","0.00","318.50","86.80","132.00","18.00","3","38.94"
"868.50","888.20","130.30","0.00","318.50","86.80","132.00","18.00","7","55.01"
"868.50","888.20","130.30","0.00","318.50","86.80","132.00","18.00","28","63.76"
"868.50","888.20","130.30","0.00","318.50","86.80","132.00","18.00","56","66.32"
"868.50","888.20","130.30","0.00","318.50","86.80","132.00","18.00","91","68.86"
"868.50","888.20","130.30","23.50","318.50","86.80","129.80","20.20","3","36.89"
"868.50","888.20","130.30","23.50","318.50","86.80","129.80","20.20","7","53.47"
"868.50","888.20","130.30","23.50","318.50","86.80","129.80","20.20","28","64.87"
"868.50","888.20","130.30","23.50","318.50","86.80","129.80","20.20","56","67.88"
"868.50","888.20","130.30","23.50","318.50","86.80","129.80","20.20","91","69.1"
"868.50","888.20","130.30","0.00","318.50","86.80","136.80","13.20","3","41.82"
"868.50","888.20","130.30","0.00","318.50","86.80","136.80","13.20","7","60.45"
"868.50","888.20","130.30","0.00","318.50","86.80","136.80","13.20","28","61.55"
"868.50","888.20","130.30","0.00","318.50","86.80","136.80","13.20","56","62.89"
"868.50","888.20","130.30","0.00","318.50","86.80","136.80","13.20","91","65.06"
"883.20","903.20","132.50","0.00","279.50","88.30","133.00","17.00","3","36.05"
"883.20","903.20","132.50","0.00","279.50","88.30","133.00","17.00","7","52.96"
"883.20","903.20","132.50","0.00","279.50","88.30","133.00","17.00","28","61.73"
"883.20","903.20","132.50","0.00","279.50","88.30","133.00","17.00","56","65.28"
"883.20","903.20","132.50","0.00","279.50","88.30","133.00","17.00","91","70.05"
"883.20","903.20","132.50","0.00","279.50","88.30","135.00","15.00","3","7.17"
"883.20","903.20","132.50","0.00","279.50","88.30","135.00","15.00","7","49.95"
