w/c,f/c,c/f,Compressive Strength (MPa)
0.3,0.65,0.798816568,72.5592
0.3,0.640758294,0.798816568,66.2304
0.685714286,0.637339056,0.55976431,37.1064
0.685714286,0.637339056,0.55976431,37.1064
0.966767372,0.843724448,0.240581466,22.4945
0.857142857,0.71888412,0.397014925,31.7739
0.6,0.637339056,0.63973064,38.2582
0.6,0.637339056,0.63973064,38.2582
0.857142857,0.71888412,0.397014925,31.7739
0.48,0.637339056,0.7996633,39.2876
0.966767372,0.843724448,0.240581466,22.4945
0.966767372,0.843724448,0.240581466,22.4945
0.533333333,0.637339056,0.71969697,38.5872
1.2,0.71888412,0.28358209,26.3301
0.75,0.71888412,0.453731343,34.1643
0.6,0.71888412,0.567164179,40.9108
1.375358166,0.770678128,0.173007808,14.0542
0.666666667,0.71888412,0.510447761,40.3967
0.6,0.637339056,0.63973064,38.2582
0.48,0.637339056,0.7996633,39.2876
0.533333333,0.637339056,0.71969697,38.5872
1.375358166,0.770678128,0.173007808,14.0542
1.375358166,0.770678128,0.173007808,14.0542
1.375358166,0.770678128,0.173007808,14.0542
0.6,0.71888412,0.567164179,40.9108
0.6,0.71888412,0.567164179,40.9108
0.6,0.637339056,0.63973064,38.2582
0.666666667,0.71888412,0.510447761,40.3967
0.533333333,0.637339056,0.71969697,38.5872
0.48,0.637339056,0.7996633,39.2876
0.75,0.71888412,0.453731343,34.1643
0.857142857,0.71888412,0.397014925,31.7739
0.966767372,0.843724448,0.240581466,22.4945
0.48,0.637339056,0.7996633,39.2876
1.2,0.71888412,0.28358209,26.3301
0.96,0.637339056,0.39983165,25.0699
0.96,0.637339056,0.39983165,25.0699
0.685714286,0.637339056,0.55976431,37.1064
0.48,0.637339056,0.7996633,39.2876
0.96,0.637339056,0.39983165,25.0699
0.666666667,0.71888412,0.510447761,40.3967
0.533333333,0.637339056,0.71969697,38.5872
0.96,0.637339056,0.39983165,25.0699
0.6,0.71888412,0.567164179,40.9108
0.533333333,0.637339056,0.71969697,38.5872
0.533333333,0.637339056,0.71969697,38.5872
0.550143266,0.770678128,0.432519519,33.3569
0.6,0.637339056,0.63973064,38.2582
0.96,0.637339056,0.39983165,25.0699
0.6,0.637339056,0.63973064,38.2582
0.685714286,0.637339056,0.55976431,37.1064
1.2,0.71888412,0.28358209,26.3301
0.96,0.637339056,0.39983165,25.0699
0.75,0.71888412,0.453731343,34.1643
1.375358166,0.770678128,0.173007808,14.0542
0.966767372,0.843724448,0.240581466,22.4945
0.48,0.637339056,0.7996633,39.2876
0.966767372,0.843724448,0.240581466,22.4945
0.75,0.71888412,0.453731343,34.1643
0.685714286,0.637339056,0.55976431,37.1064
0.75,0.71888412,0.453731343,34.1643
0.857142857,0.71888412,0.397014925,31.7739
0.619354839,0.876004119,0.364448625,28.0526
1.2,0.71888412,0.28358209,26.3301
0.857142857,0.71888412,0.397014925,31.7739
0.666666667,0.71888412,0.510447761,40.3967
1.375358166,0.770678128,0.173007808,14.0542
0.685714286,0.637339056,0.55976431,37.1064
1.2,0.71888412,0.28358209,26.3301
0.301030928,0.714285714,0.60625,67.7603
0.454812834,0.817082389,0.494251355,58.72225
0.560165975,0.584392015,0.512095456,46.0185
0.361176471,1.041074991,0.479089167,60.8972
0.356235294,0.858653846,0.52880428,62.872475
0.3376,1.16488675,0.377795688,60.72375
0.381263158,0.917145875,0.607805502,57.3344
0.293816631,0.986386574,0.55800119,62.7144
0.361176471,1.041074991,0.479089167,60.8972
0.406330417,1.086374839,0.419790429,56.9244
0.266892528,1.048820561,0.594494797,65.8779
0.361176471,1.041074991,0.479089167,60.8972
0.488393977,1.033212064,0.362108133,51.468
0.366849179,0.899978876,0.471540899,65.5171
0.454771098,0.800042341,0.479756549,65.0347
0.5678097,0.700010608,0.490528868,43.726
0.405533597,0.533368597,0.627272727,59.5873
0.454771098,0.800042341,0.479756549,65.0347
0.505413902,0.800019908,0.356227448,45.2418
0.454771098,0.800042341,0.479756549,65.0347
0.423690205,0.799977399,0.620144088,44.8265
0.374198512,0.800042341,0.515877216,66.523
0.454771098,0.800042341,0.479756549,65.0347
0.51760876,0.800042341,0.447075946,48.7678
0.454812834,0.817082389,0.494251355,58.72225
0.560165975,0.584392015,0.512095456,46.0185
0.361176471,1.041074991,0.479089167,60.8972
0.356235294,0.858653846,0.52880428,62.872475
0.3376,1.16488675,0.377795688,60.72375
0.381263158,0.917145875,0.607805502,57.3344
0.293816631,0.986386574,0.55800119,62.7144
0.361176471,1.041074991,0.479089167,60.8972
0.406330417,1.086374839,0.419790429,56.9244
0.266892528,1.048820561,0.594494797,65.8779
0.361176471,1.041074991,0.479089167,60.8972
0.488393977,1.033212064,0.362108133,51.468
0.366849179,0.899978876,0.471540899,65.5171
0.454771098,0.800042341,0.479756549,65.0347
0.5678097,0.700010608,0.490528868,43.726
0.405533597,0.533368597,0.627272727,59.5873
0.454771098,0.800042341,0.479756549,65.0347
0.505413902,0.800019908,0.356227448,45.2418
0.454771098,0.800042341,0.479756549,65.0347
0.423690205,0.799977399,0.620144088,44.8265
0.374198512,0.800042341,0.515877216,66.523
0.454771098,0.800042341,0.479756549,65.0347
0.51760876,0.800042341,0.447075946,48.7678
0.454812834,0.817082389,0.494251355,58.72225
0.560165975,0.584392015,0.512095456,46.0185
0.361176471,1.041074991,0.479089167,60.8972
0.356235294,0.858653846,0.52880428,62.872475
0.3376,1.16488675,0.377795688,60.72375
0.381263158,0.917145875,0.607805502,57.3344
0.293816631,0.986386574,0.55800119,62.7144
0.361176471,1.041074991,0.479089167,60.8972
0.406330417,1.086374839,0.419790429,56.9244
0.266892528,1.048820561,0.594494797,65.8779
0.361176471,1.041074991,0.479089167,60.8972
0.488393977,1.033212064,0.362108133,51.468
0.366849179,0.899978876,0.471540899,65.5171
0.454771098,0.800042341,0.479756549,65.0347
0.5678097,0.700010608,0.490528868,43.726
0.405533597,0.533368597,0.627272727,59.5873
0.454771098,0.800042341,0.479756549,65.0347
0.505413902,0.800019908,0.356227448,45.2418
0.454771098,0.800042341,0.479756549,65.0347
0.423690205,0.799977399,0.620144088,44.8265
0.374198512,0.800042341,0.515877216,66.523
0.454771098,0.800042341,0.479756549,65.0347
0.51760876,0.800042341,0.447075946,48.7678
0.454812834,0.817082389,0.494251355,58.72225
0.560165975,0.584392015,0.512095456,46.0185
0.361176471,1.041074991,0.479089167,60.8972
0.356235294,0.858653846,0.52880428,62.872475
0.3376,1.16488675,0.377795688,60.72375
0.381263158,0.917145875,0.607805502,57.3344
0.293816631,0.986386574,0.55800119,62.7144
0.361176471,1.041074991,0.479089167,60.8972
0.406330417,1.086374839,0.419790429,56.9244
0.266892528,1.048820561,0.594494797,65.8779
0.361176471,1.041074991,0.479089167,60.8972
0.488393977,1.033212064,0.362108133,51.468
0.366849179,0.899978876,0.471540899,65.5171
0.454771098,0.800042341,0.479756549,65.0347
0.5678097,0.700010608,0.490528868,43.726
0.405533597,0.533368597,0.627272727,59.5873
0.454771098,0.800042341,0.479756549,65.0347
0.505413902,0.800019908,0.356227448,45.2418
0.454771098,0.800042341,0.479756549,65.0347
0.423690205,0.799977399,0.620144088,44.8265
0.374198512,0.800042341,0.515877216,66.523
0.454771098,0.800042341,0.479756549,65.0347
0.51760876,0.800042341,0.447075946,48.7678
0.454812834,0.817082389,0.494251355,58.72225
0.560165975,0.584392015,0.512095456,46.0185
0.361176471,1.041074991,0.479089167,60.8972
0.356235294,0.858653846,0.52880428,62.872475
0.3376,1.16488675,0.377795688,60.72375
0.381263158,0.917145875,0.607805502,57.3344
0.293816631,0.986386574,0.55800119,62.7144
0.361176471,1.041074991,0.479089167,60.8972
0.406330417,1.086374839,0.419790429,56.9244
0.266892528,1.048820561,0.594494797,65.8779
0.361176471,1.041074991,0.479089167,60.8972
0.488393977,1.033212064,0.362108133,51.468
0.366849179,0.899978876,0.471540899,65.5171
0.454771098,0.800042341,0.479756549,65.0347
0.405533597,0.533368597,0.627272727,59.5873
0.454771098,0.800042341,0.479756549,65.0347
0.505413902,0.800019908,0.356227448,45.2418
0.454771098,0.800042341,0.479756549,65.0347
0.423690205,0.799977399,0.620144088,44.8265
0.374198512,0.800042341,0.515877216,66.523
0.454771098,0.800042341,0.479756549,65.0347
0.51760876,0.800042341,0.447075946,48.7678
0.851169065,0.899906938,0.255544065,22.6448
0.851169065,0.899906938,0.255544065,22.6448
0.851169065,0.899906938,0.255544065,22.6448
0.851169065,0.899906938,0.255544065,22.6448
0.851169065,0.899906938,0.255544065,22.6448
0.846449957,0.899894403,0.274348744,21.732
0.846449957,0.899894403,0.274348744,21.732
0.846449957,0.899894403,0.274348744,21.732
0.846449957,0.899894403,0.274348744,21.732
0.846449957,0.899894403,0.274348744,21.732
0.850539291,0.90013911,0.214924385,24.8829
0.850539291,0.90013911,0.214924385,24.8829
0.850539291,0.90013911,0.214924385,24.8829
0.850539291,0.90013911,0.214924385,24.8829
0.850539291,0.90013911,0.214924385,24.8829
0.850026219,0.737614679,0.237189055,26.4203
0.850026219,0.737614679,0.237189055,26.4203
0.850026219,0.737614679,0.237189055,26.4203
0.850026219,0.737614679,0.237189055,26.4203
0.850026219,0.737614679,0.237189055,26.4203
0.850070721,0.736857035,0.27216733,22.7056
0.850070721,0.736857035,0.27216733,22.7056
0.850070721,0.736857035,0.27216733,22.7056
0.850070721,0.736857035,0.27216733,22.7056
0.850070721,0.736857035,0.27216733,22.7056
0.85,0.736934136,0.303190087,22.6876
0.85,0.736934136,0.303190087,22.6876
0.85,0.736934136,0.303190087,22.6876
0.85,0.736934136,0.303190087,22.6876
0.85,0.736934136,0.303190087,22.6876
0.850761955,0.737616028,0.237104411,27.0229
0.850761955,0.737616028,0.237104411,27.0229
0.850761955,0.737616028,0.237104411,27.0229
0.850761955,0.737616028,0.237104411,27.0229
0.850761955,0.737616028,0.237104411,27.0229
1.062612884,0.736916682,0.21292142,22.5889
1.062612884,0.736916682,0.21292142,22.5889
1.062612884,0.736916682,0.21292142,22.5889
1.062612884,0.736916682,0.21292142,22.5889
1.062612884,0.736916682,0.21292142,22.5889
0.725,0.736847077,0.215357006,27.7641
0.725,0.736847077,0.215357006,27.7641
0.725,0.736847077,0.215357006,27.7641
0.725,0.736847077,0.215357006,27.7641
0.725,0.736847077,0.215357006,27.7641
0.85025737,0.73691124,0.272090654,22.7864
0.85025737,0.73691124,0.272090654,22.7864
0.85025737,0.73691124,0.272090654,22.7864
0.85025737,0.73691124,0.272090654,22.7864
0.85025737,0.73691124,0.272090654,22.7864
0.849859682,0.736866792,0.272183323,22.7864
0.849859682,0.736866792,0.272183323,22.7864
0.849859682,0.736866792,0.272183323,22.7864
0.849859682,0.736866792,0.272183323,22.7864
0.849859682,0.736866792,0.272183323,22.7864
0.849804092,0.736893298,0.303194298,22.6887
